main_key,sub_key,ko,en
choice.act1.random_event.07.shadow_selling_child.take_or_buy_1,label,먹물병 하나를 산 뒤 아이가 어디로 가는지 뒤따른다.,
choice.act1.random_event.07.shadow_selling_child.take_or_buy_1,result,"병을 손에 쥐자 차가운 먹물이 손바닥으로 스며들어 기운을 빼앗았다. 장터가 닫힌 뒤 아이는 폐가로 들어가 사라졌고, 문에는 일행의 것과 똑같은 검은 손자국이 남았다. 먹물병 속에서는 빼앗긴 그림자들이 다음 초승달 밤에 자신들을 찾아 달라고 속삭였다.",
choice.act1.random_event.08.spring_beneath_stone_grave.choice_1,label,동전을 건드리지 않고 흐르는 물로 목을 축인다.,
choice.act1.random_event.08.spring_beneath_stone_grave.choice_1,result,"차가운 샘물은 긴 산행으로 지친 몸을 맑게 씻어 주었다. 물속의 늙은 얼굴은 잠시 눈을 감았다가 본래 모습으로 돌아왔고, 돌무덤 사이에서는 고맙다는 듯 작은 물소리가 울렸다.",
choice.act1.random_event.08.spring_beneath_stone_grave.investigate_3,label,꽃신의 주인을 찾기 위해 주변의 발자국을 따라간다.,
choice.act1.random_event.08.spring_beneath_stone_grave.investigate_3,result,발자국 끝에는 물을 뜨러 왔다가 길을 잃은 아이가 웅크리고 있었다. 일행이 아이를 산 아래 집까지 데려다주자 가족은 대대로 샘에 제사를 지낼 때 쓰던 작은 돌잔을 내주었다. 돌잔에 담긴 물은 오래 지나도 쉽게 탁해지지 않았다.,
choice.act1.random_event.08.spring_beneath_stone_grave.take_or_buy_2,label,물속에 쌓인 동전을 건져 올린다.,
choice.act1.random_event.08.spring_beneath_stone_grave.take_or_buy_2,result,"동전을 움켜쥐는 순간 물에 비친 늙은 손이 손목을 붙잡았다. 일행은 살갗이 얼어붙는 고통을 견디며 팔을 빼냈고, 건져 올린 옛 동전은 손에 남았다. 샘물은 곧 흙탕물로 변해 더는 마실 수 없게 되었다.",
choice.act1.random_event.09.black_cloth_herbalist.avoid_3,label,수상한 표식을 이유로 약초꾼의 등짐을 빼앗아 떠난다.,
choice.act1.random_event.09.black_cloth_herbalist.avoid_3,result,"서둘러 챙긴 등짐 안에서 눌려 있던 독초 꽃가루가 터져 나왔다. 일행은 기침과 어지럼증에 시달렸고, 뒤늦게 약초꾼의 경고가 거짓이 아니었음을 깨달았다. 안개가 걷혔을 때 약초꾼은 이미 흔적 없이 사라진 뒤였다.",
choice.act1.random_event.09.black_cloth_herbalist.help_1,label,약초꾼의 상처를 치료하고 산 아래까지 부축한다.,
choice.act1.random_event.09.black_cloth_herbalist.help_1,result,"일행이 천을 걷어 상처를 씻자 약초꾼은 산적에게 붙잡혔다가 달아난 마을 의원임이 드러났다. 그는 무사히 내려온 뒤 가장 좋은 해열초를 달여 일행과 나누었고, 남은 약재로 상처까지 돌보아 주었다.",
choice.act1.random_event.09.black_cloth_herbalist.investigate_2,label,붉은 천 인형과 등짐을 조사해 정체를 확인한다.,
choice.act1.random_event.09.black_cloth_herbalist.investigate_2,result,등짐 아래에는 산적들의 은신처를 표시한 지도가 숨겨져 있었다. 그 순간 약초꾼을 추적하던 검은 천의 무리가 안개 속에서 나타나 입막음을 시도했다. 일행은 약초꾼과 지도를 지키기 위해 산적들의 포위에 맞섰다.,
choice.act1.random_event.10.silent_jangseung.choice_1,label,장승의 입을 막은 못과 헝겊을 제거한다.,
choice.act1.random_event.10.silent_jangseung.choice_1,result,마지막 못을 뽑자 울음 대신 다급한 경고가 터져 나왔다. 왼쪽 길에 숨어 있던 산적들은 자신들의 은신처를 알리던 장승을 잠재우기 위해 입을 막았던 것이다. 정체가 들통난 산적들이 숲에서 쏟아져 나오자 일행은 장승 앞에서 맞서 싸웠다.,
choice.act1.random_event.10.silent_jangseung.choice_3,label,장승의 경고를 믿고 오른쪽 길로 돌아간다.,
choice.act1.random_event.10.silent_jangseung.choice_3,result,"오른쪽 길은 멀고 험했지만 별다른 위협은 없었다. 산등성이를 넘을 때 멀리서 장승의 입을 두드리는 소리가 들렸으나, 일행은 되돌아가지 않았다.",
choice.act1.random_event.10.silent_jangseung.investigate_2,label,수레바퀴 자국을 따라 왼쪽 길을 조용히 정찰한다.,
choice.act1.random_event.10.silent_jangseung.investigate_2,result,"길 끝에는 산적들이 버리고 간 빈 수레와 빼앗은 짐 일부가 남아 있었다. 일행은 주인을 찾을 수 있는 물건을 돌려주고, 표식이 없는 돈주머니만 챙겼다. 장승의 검은 눈물은 그날부터 흐르지 않았다.",
choice.act1.random_event.11.dry_waterwheel.avoid_3,label,불길한 방앗간에 관여하지 않고 계곡을 떠난다.,
choice.act1.random_event.11.dry_waterwheel.avoid_3,result,일행은 마른 수로를 따라 산 아래로 내려갔다. 뒤편에서는 물 한 방울 없이 돌아가는 물레의 삐걱거림이 오래도록 끊이지 않았다.,
choice.act1.random_event.11.dry_waterwheel.investigate_1,label,수로를 거슬러 올라가 돌둑이 물을 막은 이유를 확인한다.,
choice.act1.random_event.11.dry_waterwheel.investigate_1,result,"돌둑 너머에는 방앗간 주인과 결탁한 사병들이 계곡물을 사유지로 돌리고 있었다. 들킨 사병들이 곡괭이와 몽둥이를 들고 달려들었고, 일행은 그들을 제압한 뒤 주민들에게 물길을 돌려주었다. 주민들은 되찾은 공동 자금에서 사건을 해결한 몫을 내어 주었다.",
choice.act1.random_event.11.dry_waterwheel.investigate_2,label,물레방아의 축을 멈추고 맷돌 안쪽을 살핀다.,
choice.act1.random_event.11.dry_waterwheel.investigate_2,result,축을 붙잡는 순간 물도 없이 돌던 물레가 거칠게 튕겨 일행의 손과 어깨를 다치게 했다. 맷돌 아래에서는 뼛가루가 아니라 오래된 조개껍데기 가루와 물길을 찾는 청동 추가 나왔다. 추가 가리킨 벽을 허물자 막혀 있던 샘물이 가느다랗게 흘러나왔다.,
choice.act1.random_event.12.paper_flower_grave.choice_2,label,종이꽃에 적힌 이름을 베껴 가까운 마을에 알린다.,
choice.act1.random_event.12.paper_flower_grave.choice_2,result,"명단을 본 주민들은 자신들의 집안이 감춰 온 아이들의 이름을 알아보았다. 처음에는 입을 닫던 이들도 무덤 앞에서 제 가족의 이름을 부르기 시작했다. 주민들은 공동으로 장례를 다시 치르고, 기록을 되찾아 준 일행에게 여비를 건넸다.",
choice.act1.random_event.12.paper_flower_grave.investigate_1,label,노인에게 빈 종이꽃의 주인이 누구인지 묻는다.,
choice.act1.random_event.12.paper_flower_grave.investigate_1,result,"노인은 오래전 기근 때 산에 버려진 동생의 이름을 끝내 쓰지 못했다고 털어놓았다. 일행이 비난하지 않고 이야기를 들어주자 그는 빈 꽃에 동생의 이름을 적어 무덤 앞에 놓았다. 밤새 무덤을 맴돌던 찬 기운이 걷혔고, 노인은 감사의 뜻으로 상처를 달이는 약초를 나누어 주었다.",
choice.act1.random_event.12.paper_flower_grave.seal_or_destroy_3,label,산귀의 표식이라 여기고 종이꽃을 모두 불태운다.,
choice.act1.random_event.12.paper_flower_grave.seal_or_destroy_3,result,"불길이 번지자 꽃잎에 머물던 차가운 바람이 재와 함께 폭발하듯 솟구쳤다. 날카로운 종이 조각이 일행의 살갗을 베었고, 무덤 아래에서는 이름을 빼앗기지 않으려는 아이들의 울음이 밤새 이어졌다.",
choice.act1.random_event.13.empty_bride_palanquin.choice_3,label,비녀와 짚신만 챙겨 관아에 증거로 가져간다.,
choice.act1.random_event.13.empty_bride_palanquin.choice_3,result,"비녀를 집어 드는 순간 가마 밑에 숨겨진 쇠침 덫이 튀어 올라 일행의 손을 찔렀다. 인기척을 알아챈 산적들은 아이와 가마를 끌고 안개 속으로 달아났고, 길에는 부러진 자물쇠 조각만 남았다.",
choice.act1.random_event.13.empty_bride_palanquin.direct_intervention_1,label,자물쇠를 부수고 가마 안에 갇힌 이를 꺼낸다.,
choice.act1.random_event.13.empty_bride_palanquin.direct_intervention_1,result,"가마 안에는 혼례복을 입힌 아이가 결박된 채 숨어 있었다. 아이를 미끼로 몸값을 뜯으려던 산적들이 안개 속에서 포위망을 좁혔고, 일행은 아이가 달아날 길을 지키며 그들과 맞섰다.",
choice.act1.random_event.13.empty_bride_palanquin.investigate_2,label,가마를 건드리지 않고 주변의 가마꾼 발자국을 추적한다.,
choice.act1.random_event.13.empty_bride_palanquin.investigate_2,result,발자국은 고개 아래의 버려진 초막으로 이어졌다. 그곳에서 술에 취해 잠든 가짜 가마꾼들과 여러 집에서 빼앗은 패물을 발견한 일행은 물건을 주인들에게 돌려주었다. 주인을 찾지 못한 돈 일부는 피해를 막은 사례로 받았다.,
choice.act1.random_event.14.stone_laying_hen.avoid_3,label,기이한 장사에 끼어들지 않고 자리를 떠난다.,
choice.act1.random_event.14.stone_laying_hen.avoid_3,result,"일행이 장터를 벗어날 때까지 농부의 호객 소리는 이어졌다. 산모퉁이를 돌기 직전, 닭장 쪽에서 아이가 우는 것과 닮은 짧은 울음이 한 번 들렸다.",
choice.act1.random_event.14.stone_laying_hen.expose_2,label,아이의 증언과 닭장의 흔적을 장터 사람들에게 보여준다.,
choice.act1.random_event.14.stone_laying_hen.expose_2,result,"속임수가 드러나자 농부 행세를 하던 산적 앞잡이들이 새장 아래 숨긴 칼과 검은 천을 꺼냈다. 일행이 검은 천 습격자와 흔적 지우는 척후를 제압하자 장터 사람들은 빼앗긴 돈을 되찾았고, 산귀 소문을 팔던 일당에게 걸려 있던 현상금 일부를 일행에게 건넸다.",
choice.act1.random_event.14.stone_laying_hen.take_or_buy_1,label,농부에게 값을 치르고 닭을 산 뒤 발목의 끈을 풀어준다.,
choice.act1.random_event.14.stone_laying_hen.take_or_buy_1,result,끈이 풀리자 닭은 깃털 사이에서 작은 청옥 조각 하나를 떨어뜨리고 평범한 산새의 모습으로 변해 날아갔다. 청옥은 굶주린 짐승의 울음이 가까워지면 미세하게 떨렸다. 농부가 자랑하던 나머지 돌들은 안료를 바른 자갈이었다.,
choice.act1.random_event.15.ash_eating_jar.avoid_3,label,수상한 사내를 피해 폐허에서 물러난다.,
